sourceId,title,organization,register,countryOrRegion,authorityTier,licenseStatus,accessStatus,archivalPermission,redistributionPermission,documentFormat,domain,gapFill,authority,stability,provenance,factualDensity,structuralRichness,rewriteUtility,accessibility,reproducibility,learningValue,totalScore,selectionStatus,goldRank,origin,v1SourceId
SRC-NF-0011,"SP 800-63B, Digital Identity Guidelines: Authentication and",NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,cybersecurity,,5,5,5,5,5,5,5,5,5,48,GOLD,11,v1,SRC-NF-0011
SRC-NF-0012,ENISA Threat Landscape 2024,ENISA,TECHNICAL,US,1,CC_BY,FULL_TEXT,YES,YES,HTML,cybersecurity,,5,5,5,5,5,5,5,5,5,48,GOLD,12,v1,SRC-NF-0012
SRC-NF-0013,"Microsoft Corporation Form 10-K For the Fiscal Year Ended June 30, 2023",Microsoft Corporation / SEC EDGAR,BUSINESS,US,1,COPYRIGHT_RESTRICTED,FULL_TEXT,NO,NO,HTML,technology-corporate,,5,5,5,5,5,5,5,5,5,46,GOLD,13,v1,SRC-NF-0013
SRC-NF-0014,"Apple Inc. Form 10-K For the Fiscal Year Ended September 30, 2023",Apple Inc. / SEC EDGAR,BUSINESS,US,1,COPYRIGHT_RESTRICTED,FULL_TEXT,NO,NO,HTML,technology-corporate,,5,5,5,5,5,5,5,5,5,46,GOLD,14,v1,SRC-NF-0014
SRC-NF-0015,CO₂ and Greenhouse Gas Emissions,Our World in Data,JOURNALISM,US,2,CC_BY,FULL_TEXT,YES,YES,HTML,climate,,4,5,5,5,5,5,5,5,5,46,GOLD,15,v1,SRC-NF-0015
SRC-NF-0016,CO₂ emissions,Our World in Data,JOURNALISM,US,2,CC_BY,FULL_TEXT,YES,YES,HTML,climate,,4,5,5,5,5,5,5,5,5,46,GOLD,16,v1,SRC-NF-0016
SRC-NF-0017,Estimated 2023–2024 COVID-19 Vaccine Effectiveness in Adults,PMC / NIH,ACADEMIC,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,,5,5,5,5,5,5,5,5,5,48,GOLD,17,v1,SRC-NF-0017
SRC-NF-0018,Revisiting the Minimum Wage–Employment Debate (NBER Working Paper 18681),NBER,ACADEMIC,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,economics,,5,5,5,5,5,5,5,5,5,48,GOLD,18,v1,SRC-NF-0018
SRC-NF-0019,"Amazon.com, Inc. Form 10-K for the year ended December 31, 2023","Amazon.com, Inc. / SEC EDGAR",BUSINESS,US,1,COPYRIGHT_RESTRICTED,FULL_TEXT,NO,NO,HTML,consumer,,5,5,5,5,5,5,5,5,5,46,GOLD,19,v1,SRC-NF-0019
SRC-NF-0020,Microsoft Corporation Definitive Proxy Statement (DEF 14A) 2025,Microsoft Corporation / SEC EDGAR,BUSINESS,US,1,COPYRIGHT_RESTRICTED,FULL_TEXT,NO,NO,HTML,governance,,5,5,5,5,5,5,5,5,5,46,GOLD,20,v1,SRC-NF-0020
SRC-NF-0021,Highway Statistics 2023,"Federal Highway Administration (FHWA), U.S. DOT",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,infrastructure,,5,5,5,5,5,5,5,5,5,48,GOLD,21,v1,SRC-NF-0021
SRC-NF-0022,Overview of Motor Vehicle Traffic Crashes in 2023 (DOT HS 813 705),"National Highway Traffic Safety Administration (NHTSA), U.S. DOT",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,infrastructure,,5,5,5,5,5,5,5,5,5,48,GOLD,22,v1,SRC-NF-0022
SRC-NF-V11-0001,Claims of 'no difference' or 'no effect' in Cochrane and other systematic reviews,PMC / NIH National Library of Medicine,INTERNATIONAL,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,health,negative-findings,5,5,5,5,5,5,5,5,5,50,GOLD,23,v1.1-new,
SRC-NF-V11-0002,Understanding and misunderstanding randomized controlled trials,PMC / NIH National Library of Medicine,INTERNATIONAL,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,health,causal-correlational,5,5,5,5,5,5,5,5,5,50,GOLD,24,v1.1-new,
SRC-NF-V11-0003,Eurostat regional yearbook - 2024 edition,Eurostat (European Union),INTERNATIONAL,EU,1,CC_BY,FULL_TEXT,YES,YES,HTML,demographics,international,5,5,5,5,5,5,5,5,5,48,GOLD,25,v1.1-new,
SRC-NF-V11-0004,"The Daily - Labour Force Survey, December 2024",Statistics Canada,INTERNATIONAL,Canada,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,labor,international,5,5,5,5,5,5,5,5,5,48,GOLD,26,v1.1-new,
SRC-NF-V11-0005,"Labour market overview, UK Statistical bulletins",Office for National Statistics (UK),INTERNATIONAL,UK,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,labor,international,5,5,5,5,5,5,5,5,5,48,GOLD,27,v1.1-new,
SRC-NF-V11-0006,Italian Statistical Yearbook 2025 - Executive Summary,ISTAT (Italy),INTERNATIONAL,Italy,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,demographics,international,5,5,5,5,5,5,5,5,5,48,GOLD,28,v1.1-new,
SRC-NF-V11-0007,OECD Economic Surveys: Japan 2024,OECD,INTERNATIONAL,Japan,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,economy,long-form,5,5,5,5,5,5,5,5,5,48,GOLD,29,v1.1-new,
SRC-NF-V11-0008,THE OREGON HEALTH INSURANCE EXPERIMENT - PMC,PMC / NIH (NBER/QJE),ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,social-science,causal-correlational,5,5,5,5,5,5,5,5,5,50,SILVER,,v1.1-new,
SRC-NF-V11-0009,Moving to Opportunity: an Experimental Study of  - PMC,PMC / NIH (American Journal of Public Health),ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,social-science,causal-correlational,5,5,5,5,5,5,5,5,5,50,SILVER,,v1.1-new,
SRC-NF-V11-0010,Estimating the reproducibility of psychological science,AAAS / Science,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,psychology,negative-findings,5,5,5,5,5,5,5,5,5,50,SILVER,,v1.1-new,
SRC-NF-V11-0011,Evaluating the replicability of social science experiments in,Nature Human Behaviour,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,social-science,negative-findings,5,5,5,5,5,5,5,5,5,50,SILVER,,v1.1-new,
SRC-NF-V11-0012,PRISMA 2020 checklist,PRISMA Statement Group,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,long-form,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-V11-0013,World Population Prospects 2024,UN DESA Population Division,INTERNATIONAL,Global,1,CC_BY,FULL_TEXT,YES,YES,HTML,demographics,international,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-V11-0014,REPORT 2023/2024 | Human Development Reports (PDF),United Nations Development Programme (UNDP),INTERNATIONAL,Global,1,CC_BY,FULL_TEXT,YES,YES,PDF,international-development,long-form,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-V11-0015,World health statistics 2024,World Health Organization,INTERNATIONAL,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,health,international,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-V11-0016,World malaria report 2024,World Health Organization,INTERNATIONAL,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,health,international,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-V11-0017,Food Outlook - Biannual report on global food markets (November 2024),Food and Agriculture Organization (FAO),INTERNATIONAL,Global,1,CC_BY,FULL_TEXT,YES,YES,HTML,agriculture,international,5,5,5,5,5,5,5,5,5,48,SILVER,,v1.1-new,
SRC-NF-0036,"NIST SP 800-171 Rev. 3, Protecting Controlled Unclassified Information",NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,cybersecurity,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0036
SRC-NF-0037,[PDF] ENISA THREAT LANDSCAPE 2025,ENISA,TECHNICAL,US,1,CC_BY,FULL_TEXT,YES,YES,PDF,cybersecurity,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0037
SRC-NF-0038,Web Content Accessibility Guidelines (WCAG) 2.2,W3C,TECHNICAL,US,1,CC_BY,FULL_TEXT,YES,YES,HTML,standards,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0038
SRC-NF-0039,NASA Systems Engineering Handbook,NASA,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,aerospace,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0039
SRC-NF-0048,UAM Airspace Research Roadmap - Rev. 2.0,NASA,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,aerospace,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0048
SRC-NF-V11-0018,BIS Annual Economic Report 2024,Bank for International Settlements,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,banking,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,
SRC-NF-V11-0019,"Bank of England Financial Stability Report, November 2024",Bank of England,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,banking,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,
SRC-NF-V11-0020,"The Global Risks Report 2024, 19th Edition",World Economic Forum,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,governance,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,
SRC-NF-V11-0021,The Future of Jobs Report 2025,World Economic Forum,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,professional-services,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,
SRC-NF-0031,"Employee Benefits in the United States, March 2024",U.S. Bureau of Labor Statistics,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,labor,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0031
SRC-NF-V11-0022,Annual Energy Outlook 2026,U.S. Energy Information Administration,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,energy,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,
SRC-NF-0032,The Condition of Education 2024 (NCES 2024-144),"National Center for Education Statistics (NCES), IES, U.S. Department of Education",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,education,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0032
SRC-NF-0033,Digest of Education Statistics,"National Center for Education Statistics (NCES), IES, U.S. Department of Education",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,education,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0033
SRC-NF-0034,The State of U.S. Science and Engineering 2024,"National Center for Science and Engineering Statistics (NCSES), National Science Foundation",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,education,,5,5,5,5,5,5,5,5,5,48,SILVER,,v1,SRC-NF-0034
SRC-NF-0040,NOAA predicts above-normal 2024 Atlantic hurricane season,NOAA,JOURNALISM,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,climate,,5,5,5,5,4,5,5,5,5,47,SILVER,,v1,SRC-NF-0040
SRC-NF-V11-0023,Assessing risk of bias due to missing evidence in a meta-analysis,Cochrane,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,long-form,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0024,Including non-randomized studies on intervention effects,Cochrane,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,long-form,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0025,GRADE,Cochrane / GRADE Working Group,ACADEMIC,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,long-form,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0026,The State of Food Security and Nutrition in the World 2024 (SOFI),FAO (on behalf of UN agencies),INTERNATIONAL,Global,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,international-development,international,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0027,World Employment and Social Outlook: Trends 2024,International Labour Organization (ILO),INTERNATIONAL,Global,1,CC_BY,FULL_TEXT,YES,YES,HTML,labor,international,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0028,"World Education Statistics, 2024 | UNESCO",UNESCO,INTERNATIONAL,Global,1,CC_BY,FULL_TEXT,YES,YES,HTML,education,international,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1.1-new,
SRC-NF-V11-0029,The economic potential of generative AI: The next productivity frontier,McKinsey & Company / McKinsey Global Institute,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,technology-corporate,,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1,
SRC-NF-V11-0030,McKinsey Technology Trends Outlook 2025,McKinsey & Company,BUSINESS,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,technology-corporate,,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1,
SRC-NF-0035,National Vital Statistics Reports (NVSR) - Homepage,"National Center for Health Statistics (NCHS), CDC, U.S. Department of Health and Human Services",GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,health,,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1,SRC-NF-0035
SRC-NF-0045,Monthly Climate Reports: Global Climate Report — Annual 2024,NOAA National Centers for Environmental Information (NCEI),GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,climate,,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1,SRC-NF-0045
SRC-NF-0046,Fifth National Climate Assessment (NCA5),U.S. Global Change Research Program (USGCRP) — NOAA Institutional Repository,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,climate,,5,5,5,5,5,5,5,5,5,48,BRONZE,,v1,SRC-NF-0046
SRC-NF-0049,[PDF] NIST.SP.800-53r5.pdf,NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,cybersecurity,,5,5,5,5,5,4,5,5,5,47,BRONZE,,v1,SRC-NF-0049
SRC-NF-V11-0031,[PDF] The NIST Cybersecurity Framework (CSF) 2.0,NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,cybersecurity,,5,5,5,4,5,5,5,5,5,47,BRONZE,,v1,
SRC-NF-V11-0032,"SP 800-207, Zero Trust Architecture",NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,cybersecurity,,5,5,5,4,5,5,5,5,5,47,BRONZE,,v1,
SRC-NF-0050,Highly active hurricane season likely to continue in Atlantic,NOAA,JOURNALISM,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,climate,,5,5,5,4,4,5,5,5,5,46,BRONZE,,v1,SRC-NF-0050
